city,Ncasos,Ncasos/1000H
AGUIAR,15,2.6595744680851063
ALAGOA GRANDE,382,13.405390230207749
ALAGOA NOVA,156,7.482373255312005
ALAGOINHA,373,25.74366760991097
ALCANTIL,18,3.2774945375091042
ALGODÃO DE JANDAÍRA,3,1.168679392286716
ALHANDRA,309,15.774964263835
AMPARO,12,5.361930294906166
APARECIDA,24,2.875284533365281
ARARA,79,5.864884929472903
ARARUNA,69,3.397006695549429
ARAÇAGI,241,14.187319715076235
AREIA DE BARAÚNAS,1,0.4699248120300752
AREIA,149,6.529646347342127
AREIAL,28,4.00114318376679
AROEIRAS,76,3.9680467811831046
ASSUNÇÃO,26,6.516290726817043
BANANEIRAS,74,3.471244957313069
BARAÚNA,108,22.07686017988553
BARRA DE SANTA ROSA,17,1.1050442017680708
BARRA DE SANTANA,49,5.861945208757028
BARRA DE SÃO MIGUEL,6,0.9940357852882704
BAYEUX,830,8.56729975227085
BAÍA DA TRAIÇÃO,161,17.902813299232736
BELÉM DO BREJO DO CRUZ,7,0.9534186870062653
BELÉM,246,13.917175831636117
BERNARDINO BATISTA,3,0.856898029134533
BOA VENTURA,2,0.37271710771524413
BOA VISTA,48,6.80754502907389
BOM JESUS,3,1.1714174150722374
BOM SUCESSO,6,1.2060301507537687
BONITO DE SANTA FÉ,2,0.1678274733573886
BOQUEIRÃO,114,6.403055493147607
BORBOREMA,6,1.1400342010260307
BREJO DO CRUZ,83,5.877354482367936
BREJO DOS SANTOS,4,0.6202512017367033
CAAPORÃ,734,33.62653472603995
CABACEIRAS,11,1.9604348600962396
CABEDELO,1767,26.086571394826976
CACHOEIRA DOS ÍNDIOS,44,4.295197188598204
CACIMBA DE AREIA,7,1.9011406844106464
CACIMBA DE DENTRO,45,2.6182579856868564
CACIMBAS,31,4.321762163669315
CAIÇARA,167,23.191223441188725
CAJAZEIRAS,479,7.726678818576291
CAJAZEIRINHAS,1,0.31318509238960224
CALDAS BRANDÃO,73,12.138343864316594
CAMALAÚ,1,0.16630633627141195
CAMPINA GRANDE,6389,15.59315746184692
CAPIM,100,15.330369461904032
CARAÚBAS,12,2.8832292167227296
CARRAPATEIRA,5,1.8804061677322301
CASSERENGUE,101,13.524370648098554
CATINGUEIRA,12,2.4330900243309004
CATOLÉ DO ROCHA,144,4.7142015321154975
CATURITÉ,56,11.541632316570487
CONCEIÇÃO,11,0.5794963649773469
CONDADO,69,10.36970243462579
CONDE,332,13.457640859343332
CONGO,26,5.4325114918512325
COREMAS,29,1.8776303010683069
COXIXOLA,9,4.685059864653826
CRUZ DO ESPÍRITO SANTO,180,10.393209769617183
CUBATI,40,5.130178273695011
CUITEGI,107,15.728355137439365
CUITÉ DE MAMANGUAPE,46,7.240673697465764
CUITÉ,89,4.376044842167372
CURRAL VELHO,1,0.397456279809221
CURRAL DE CIMA,16,3.061029271092405
DAMIÃO,3,0.5628517823639775
DESTERRO,32,3.8568157165240446
DIAMANTE,3,0.45787545787545786
DONA INÊS,9,0.8609968430115756
DUAS ESTRADAS,39,10.845383759733037
EMAS,2,0.5678591709256104
ESPERANÇA,237,7.180295088920532
FAGUNDES,43,3.821203234692971
FREI MARTINHO,1,0.33456005352960855
GADO BRAVO,60,7.215007215007215
GUARABIRA,2050,34.84439005320144
GURINHÉM,159,11.253450350343266
GURJÃO,19,5.542590431738623
IBIARA,9,1.517962556923596
IGARACY,3,0.4904364884747425
IMACULADA,13,1.0999238514256706
INGÁ,277,15.301331271060045
ITABAIANA,565,23.08289414552437
ITAPORANGA,25,1.0124736756844321
ITAPOROROCA,168,9.001285897985426
ITATUBA,121,11.0381317277869
JACARAÚ,100,6.92952671332548
JERICÓ,4,0.5168626437524227
JOCA CLAUDINO,1,0.37936267071320184
JOÃO PESSOA,12449,15.387848185756754
JUAREZ TÁVORA,128,16.129032258064516
JUAZEIRINHO,98,5.393208959330802
JUNCO DO SERIDÓ,23,3.2167832167832167
JURIPIRANGA,265,24.63741167720342
JURU,11,1.1148272017837235
LAGOA SECA,348,12.653165109260808
LAGOA DE DENTRO,32,4.145614716932245
LAGOA,3,0.6429489927132448
LASTRO,13,4.7497259773474605
LIVRAMENTO,37,5.09922822491731
LOGRADOURO,48,11.0803324099723
