bairro,cases
FIGUEIRÊDO,0
CATOLÉ,376
MALVINAS,522
VILA CABRAL,81
NOVA BRASÍLIA,167
TRÊS IRMÃS,232
QUARENTA,70
MÉDICI,0
CENTRO,279
RAMADINHA,43
CIDADES,65
VELAME,122
JARDIM PAULISTANO,136
ESTAÇÃO VELHA,27
JARDIM TAVARES,67
JARDIM CONTINENTAL,30
CRUZEIRO,240
SANTA CRUZ,83
NAÇÕES,9
CUITÉS,41
DISTRITO INDUSTRIAL,23
ITARARÉ,31
SANTO ANTÔNIO,133
SANDRA CAVALCANTE,102
TAMBOR,74
MIRANTE,56
DINAMÉRICA,68
SANTA ROSA,228
LIBERDADE,354
CENTENÁRIO,138
SÃO JOSÉ,54
PEDREGAL,127
JOSÉ PINHEIRO,383
MONTE CASTELO,179
BELA VISTA,73
PRATA,60
LAURITZEN,25
CASTELO BRANCO,34
CONCEIÇÃO,45
MONTE SANTO,172
BODOCONGÓ,284
PALMEIRA,118
UNIVERSITÁRIO,43
SERROTÃO,175
JEREMIAS,202
LOUZEIRO,2
ARAXÁ,38
ALTO BRANCO,261
NOVO BODOCONGÓ,15
