city,cases
AGUIAR,1
ALAGOA GRANDE,129
ALAGOA NOVA,68
ALAGOINHA,187
ALCANTIL,4
ALHANDRA,204
AMPARO,12
APARECIDA,9
ARARA,33
ARARUNA,6
ARAÇAGI,86
AREIA DE BARAÚNAS,1
AREIA,77
AREIAL,16
AROEIRAS,44
ASSUNÇÃO,20
BANANEIRAS,42
BARAÚNA,56
BARRA DE SANTA ROSA,12
BARRA DE SANTANA,28
BARRA DE SÃO MIGUEL,3
BAYEUX,501
BAÍA DA TRAIÇÃO,66
BELÉM DO BREJO DO CRUZ,5
BELÉM,83
BERNARDINO BATISTA,2
BOA VENTURA,1
BOA VISTA,44
BOM JESUS,2
BOM SUCESSO,5
BONITO DE SANTA FÉ,1
BOQUEIRÃO,48
BORBOREMA,2
BREJO DO CRUZ,16
BREJO DOS SANTOS,1
CASO SEM LOCALIZAÇÃO DEFINIDA,1580
CAAPORÃ,509
CABACEIRAS,2
CABEDELO,1215
CACHOEIRA DOS ÍNDIOS,11
CACIMBA DE AREIA,5
CACIMBA DE DENTRO,32
CACIMBAS,19
CAIÇARA,33
CAJAZEIRAS,170
CAJAZEIRINHAS,1
CALDAS BRANDÃO,27
CAMPINA GRANDE,2967
CAPIM,52
CARAÚBAS,2
CARRAPATEIRA,1
CASSERENGUE,31
CATINGUEIRA,6
CATOLÉ DO ROCHA,71
CATURITÉ,20
CONCEIÇÃO,4
CONDADO,45
CONDE,148
CONGO,11
COREMAS,20
COXIXOLA,8
CRUZ DO ESPÍRITO SANTO,140
CUBATI,3
CUITEGI,59
CUITÉ DE MAMANGUAPE,17
CUITÉ,15
CURRAL VELHO,1
CURRAL DE CIMA,10
DAMIÃO,2
DESTERRO,12
DIAMANTE,2
DONA INÊS,5
DUAS ESTRADAS,33
EMAS,1
ESPERANÇA,116
FAGUNDES,11
GADO BRAVO,42
GUARABIRA,935
GURINHÉM,71
GURJÃO,15
IBIARA,5
IGARACY,2
IMACULADA,9
INGÁ,124
ITABAIANA,323
ITAPORANGA,5
ITAPOROROCA,43
ITATUBA,67
JACARAÚ,28
JERICÓ,3
JOCA CLAUDINO,1
JOÃO PESSOA,6583
JUAREZ TÁVORA,50
JUAZEIRINHO,67
JUNCO DO SERIDÓ,12
JURIPIRANGA,150
JURU,5
LAGOA SECA,177
LAGOA DE DENTRO,9
LAGOA,4
LASTRO,1
LIVRAMENTO,0
LOGRADOURO,14
LUCENA,93
MALTA,18
MAMANGUAPE,372
MANAÍRA,2
MARCAÇÃO,9
MARI,156
MARIZÓPOLIS,4
MASSARANDUBA,59
MATARACA,32
MATINHAS,22
MATO GROSSO,7
MATURÉIA,13
MOGEIRO,20
MONTADAS,15
MONTEIRO,38
MULUNGU,42
MÃE D'ÁGUA,8
NATUBA,12
NAZAREZINHO,1
NOVA FLORESTA,5
NOVA OLINDA,4
NOVA PALMEIRA,8
OLHO D'ÁGUA,23
OLIVEDOS,7
OURO VELHO,1
PASSAGEM,13
PATOS,810
PAULISTA,32
PEDRA LAVRADA,14
PEDRAS DE FOGO,403
PEDRO RÉGIS,1
PIANCÓ,25
PICUÍ,35
PILAR,59
PILÕES,15
PILÕEZINHOS,77
PIRPIRITUBA,31
PITIMBU,171
POCINHOS,12
POMBAL,88
PRATA,1
PRINCESA ISABEL,15
PUXINANÃ,70
QUEIMADAS,167
QUIXABA,15
REMÍGIO,95
RIACHO DE SANTO ANTÔNIO,5
RIACHO DOS CAVALOS,2
RIACHÃO DO BACAMARTE,123
RIACHÃO DO POÇO,13
RIACHÃO,1
RIO TINTO,101
SALGADINHO,8
SALGADO DE SÃO FÉLIX,40
SANTA CECÍLIA,8
SANTA CRUZ,3
SANTA HELENA,2
SANTA INÊS,4
SANTA LUZIA,97
SANTA RITA,781
SANTA TERESINHA,19
SANTANA DOS GARROTES,2
SANTO ANDRÉ,1
SAPÉ,299
SERRA BRANCA,4
SERRA GRANDE,1
SERRA REDONDA,66
SERRA DA RAIZ,11
SERRARIA,19
SERTÃOZINHO,18
SOBRADO,31
SOLEDADE,26
SOLÂNEA,98
SOUSA,310
SUMÉ,28
SÃO BENTINHO,12
SÃO BENTO,312
SÃO FRANCISCO,6
SÃO JOSÉ DA LAGOA TAPADA,15
SÃO JOSÉ DE CAIANA,16
SÃO JOSÉ DE ESPINHARAS,4
SÃO JOSÉ DE PIRANHAS,10
SÃO JOSÉ DO BONFIM,19
SÃO JOSÉ DO SABUGI,84
SÃO JOSÉ DOS CORDEIROS,3
SÃO JOSÉ DOS RAMOS,28
SÃO JOÃO DO CARIRI,10
SÃO JOÃO DO RIO DO PEIXE,21
SÃO JOÃO DO TIGRE,1
SÃO MAMEDE,19
SÃO MIGUEL DE TAIPU,43
SÃO SEBASTIÃO DE LAGOA DE ROÇA,47
SÃO SEBASTIÃO DO UMBUZEIRO,4
SÃO VICENTE DO SERIDÓ,18
TACIMA,32
TAPEROÁ,35
TAVARES,8
TEIXEIRA,28
TENÓRIO,2
UIRAÚNA,6
UMBUZEIRO,17
VIEIRÓPOLIS,3
VISTA SERRANA,1
VÁRZEA,1
ÁGUA BRANCA,9
