city,Ncasos,Ncasos/1000H
AGUIAR,15,2.66
ALAGOA GRANDE,382,13.41
ALAGOA NOVA,156,7.49
ALAGOINHA,373,25.75
ALCANTIL,18,3.28
ALGODÃO DE JANDAÍRA,3,1.17
ALHANDRA,309,15.78
AMPARO,12,5.37
APARECIDA,24,2.88
ARARA,79,5.87
ARARUNA,69,3.4
ARAÇAGI,241,14.19
AREIA DE BARAÚNAS,1,0.47
AREIA,149,6.53
AREIAL,28,4.1
AROEIRAS,76,3.97
ASSUNÇÃO,26,6.52
BANANEIRAS,74,3.48
BARAÚNA,108,22.8
BARRA DE SANTA ROSA,17,1.11
BARRA DE SANTANA,49,5.87
BARRA DE SÃO MIGUEL,6,0.1
BAYEUX,830,8.57
BAÍA DA TRAIÇÃO,161,17.91
BELÉM DO BREJO DO CRUZ,7,0.96
BELÉM,246,13.92
BERNARDINO BATISTA,3,0.86
BOA VENTURA,2,0.38
BOA VISTA,48,6.81
BOM JESUS,3,1.18
BOM SUCESSO,6,1.21
BONITO DE SANTA FÉ,2,0.17
BOQUEIRÃO,114,6.41
BORBOREMA,6,1.14
BREJO DO CRUZ,83,5.88
BREJO DOS SANTOS,4,0.62
CAAPORÃ,734,33.63
CABACEIRAS,11,1.96
CABEDELO,1767,26.9
CACHOEIRA DOS ÍNDIOS,44,4.3
CACIMBA DE AREIA,7,1.91
CACIMBA DE DENTRO,45,2.62
CACIMBAS,31,4.33
CAIÇARA,167,23.2
CAJAZEIRAS,479,7.73
CAJAZEIRINHAS,1,0.32
CALDAS BRANDÃO,73,12.14
CAMALAÚ,1,0.17
CAMPINA GRANDE,6389,15.6
CAPIM,100,15.33
CARAÚBAS,12,2.89
CARRAPATEIRA,5,1.88
CASSERENGUE,101,13.53
CATINGUEIRA,12,2.44
CATOLÉ DO ROCHA,144,4.72
CATURITÉ,56,11.55
CONCEIÇÃO,11,0.58
CONDADO,69,10.37
CONDE,332,13.46
CONGO,26,5.44
COREMAS,29,1.88
COXIXOLA,9,4.69
CRUZ DO ESPÍRITO SANTO,180,10.4
CUBATI,40,5.13
CUITEGI,107,15.73
CUITÉ DE MAMANGUAPE,46,7.24
CUITÉ,89,4.38
CURRAL VELHO,1,0.4
CURRAL DE CIMA,16,3.7
DAMIÃO,3,0.57
DESTERRO,32,3.86
DIAMANTE,3,0.46
DONA INÊS,9,0.86
DUAS ESTRADAS,39,10.85
EMAS,2,0.57
ESPERANÇA,237,7.18
FAGUNDES,43,3.83
FREI MARTINHO,1,0.34
GADO BRAVO,60,7.22
GUARABIRA,2050,34.85
GURINHÉM,159,11.26
GURJÃO,19,5.55
IBIARA,9,1.52
IGARACY,3,0.49
IMACULADA,13,1.1
INGÁ,277,15.31
ITABAIANA,565,23.9
ITAPORANGA,25,1.2
ITAPOROROCA,168,9.1
ITATUBA,121,11.4
JACARAÚ,100,6.93
JERICÓ,4,0.52
JOCA CLAUDINO,1,0.38
JOÃO PESSOA,12449,15.39
JUAREZ TÁVORA,128,16.13
JUAZEIRINHO,98,5.4
JUNCO DO SERIDÓ,23,3.22
JURIPIRANGA,265,24.64
JURU,11,1.12
LAGOA SECA,348,12.66
LAGOA DE DENTRO,32,4.15
LAGOA,3,0.65
LASTRO,13,4.75
LIVRAMENTO,37,5.1
LOGRADOURO,48,11.8
LUCENA,165,12.62
MALTA,19,3.3
MAMANGUAPE,1125,25.7
MANAÍRA,7,0.64
MARCAÇÃO,32,3.74
MARI,340,15.57
MARIZÓPOLIS,6,0.91
MASSARANDUBA,139,9.99
MATARACA,82,9.73
MATINHAS,35,7.78
MATO GROSSO,7,2.41
MATURÉIA,22,3.35
MOGEIRO,64,4.82
MONTADAS,31,5.47
MONTEIRO,85,2.56
MULUNGU,147,14.85
MÃE D'ÁGUA,11,2.75
NATUBA,37,3.54
NAZAREZINHO,4,0.55
NOVA FLORESTA,15,1.41
NOVA OLINDA,5,0.84
NOVA PALMEIRA,28,5.71
OLHO D'ÁGUA,29,4.45
OLIVEDOS,29,7.38
OURO VELHO,0,0.0
PARARI,4,2.26
PASSAGEM,29,11.99
PATOS,1306,12.14
PAULISTA,58,4.7
PEDRA LAVRADA,20,2.55
PEDRAS DE FOGO,899,31.59
PEDRO RÉGIS,16,2.63
PIANCÓ,47,2.93
PICUÍ,75,4.1
PILAR,133,11.16
PILÕES,34,5.13
PILÕEZINHOS,132,26.53
PIRPIRITUBA,77,7.28
PITIMBU,470,24.66
POCINHOS,49,2.64
POMBAL,146,4.46
POÇO DANTAS,1,0.26
PRATA,0,0.0
PRINCESA ISABEL,38,1.63
PUXINANÃ,168,12.28
QUEIMADAS,445,10.13
QUIXABA,24,12.27
REMÍGIO,146,7.45
RIACHO DE SANTO ANTÔNIO,7,3.6
RIACHO DOS CAVALOS,2,0.24
RIACHÃO DO BACAMARTE,174,38.49
RIACHÃO DO POÇO,30,6.66
RIACHÃO,22,6.14
RIO TINTO,369,15.27
SALGADINHO,9,2.32
SALGADO DE SÃO FÉLIX,96,7.91
