city,pop
AGUIAR,5640
ALAGOA GRANDE,28496
ALAGOA NOVA,20849
ALAGOINHA,14489
ALCANTIL,5492
ALGODÃO DE JANDAÍRA,2567
ALHANDRA,19588
AMPARO,2238
APARECIDA,8347
ARARA,13470
ARARUNA,20312
ARAÇAGI,16987
AREIA DE BARAÚNAS,2128
AREIA,22819
AREIAL,6998
AROEIRAS,19153
ASSUNÇÃO,3990
BANANEIRAS,21318
BARAÚNA,4892
BARRA DE SANTA ROSA,15384
BARRA DE SANTANA,8359
BARRA DE SÃO MIGUEL,6036
BAYEUX,96880
BAÍA DA TRAIÇÃO,8993
BELÉM DO BREJO DO CRUZ,7342
BELÉM,17676
BERNARDINO BATISTA,3501
BOA VENTURA,5366
BOA VISTA,7051
BOM JESUS,2561
BOM SUCESSO,4975
BONITO DE SANTA FÉ,11917
BOQUEIRÃO,17804
BORBOREMA,5263
BREJO DO CRUZ,14122
BREJO DOS SANTOS,6449
CAAPORÃ,21828
CABACEIRAS,5611
CABEDELO,67736
CACHOEIRA DOS ÍNDIOS,10244
CACIMBA DE AREIA,3682
CACIMBA DE DENTRO,17187
CACIMBAS,7173
CAIÇARA,7201
CAJAZEIRAS,61993
CAJAZEIRINHAS,3193
CALDAS BRANDÃO,6014
CAMALAÚ,6013
CAMPINA GRANDE,409731
CAPIM,6523
CARAÚBAS,4162
CARRAPATEIRA,2659
CASSERENGUE,7468
CATINGUEIRA,4932
CATOLÉ DO ROCHA,30546
CATURITÉ,4852
CONCEIÇÃO,18982
CONDADO,6654
CONDE,24670
CONGO,4786
COREMAS,15445
COXIXOLA,1921
CRUZ DO ESPÍRITO SANTO,17319
CUBATI,7797
CUITEGI,6803
CUITÉ DE MAMANGUAPE,6353
CUITÉ,20338
CURRAL DE CIMA,5227
CURRAL VELHO,2516
DAMIÃO,5330
DESTERRO,8297
DIAMANTE,6552
DONA INÊS,10453
DUAS ESTRADAS,3596
EMAS,3522
ESPERANÇA,33007
FAGUNDES,11253
FREI MARTINHO,2989
GADO BRAVO,8316
GUARABIRA,58833
GURINHÉM,14129
GURJÃO,3428
IBIARA,5929
IGARACY,6117
IMACULADA,11819
INGÁ,18103
ITABAIANA,24477
ITAPORANGA,24692
ITAPOROROCA,18664
ITATUBA,10962
JACARAÚ,14431
JERICÓ,7739
JOCA CLAUDINO,2636
JOÃO PESSOA,809015
JUAREZ TÁVORA,7936
JUAZEIRINHO,18171
JUNCO DO SERIDÓ,7150
JURIPIRANGA,10756
JURU,9867
LAGOA DE DENTRO,7719
LAGOA SECA,27503
LAGOA,4666
LASTRO,2737
LIVRAMENTO,7256
LOGRADOURO,4332
LUCENA,13080
MALTA,5759
MAMANGUAPE,44882
MANAÍRA,10955
MARCAÇÃO,8558
MARI,21837
MARIZÓPOLIS,6617
MASSARANDUBA,13918
MATARACA,8434
