city,cases
AGUIAR,11
ALAGOA GRANDE,263
ALAGOA NOVA,132
ALAGOINHA,287
ALCANTIL,7
ALGODÃO DE JANDAÍRA,2
ALHANDRA,276
AMPARO,12
APARECIDA,19
ARARA,61
ARARUNA,34
ARAÇAGI,157
AREIA DE BARAÚNAS,1
AREIA,119
AREIAL,22
AROEIRAS,67
ASSUNÇÃO,21
BANANEIRAS,63
BARAÚNA,91
BARRA DE SANTA ROSA,15
BARRA DE SANTANA,42
BARRA DE SÃO MIGUEL,6
BAYEUX,699
BAÍA DA TRAIÇÃO,126
BELÉM DO BREJO DO CRUZ,6
BELÉM,158
BERNARDINO BATISTA,2
BOA VENTURA,2
BOA VISTA,48
BOM JESUS,3
BOM SUCESSO,5
BONITO DE SANTA FÉ,2
BOQUEIRÃO,78
BORBOREMA,3
BREJO DO CRUZ,55
BREJO DOS SANTOS,4
CASO SEM LOCALIZAÇÃO DEFINIDA,0
CAAPORÃ,678
CABACEIRAS,9
CABEDELO,1542
CACHOEIRA DOS ÍNDIOS,37
CACIMBA DE AREIA,7
CACIMBA DE DENTRO,40
CACIMBAS,28
CAIÇARA,100
CAJAZEIRAS,348
CAJAZEIRINHAS,1
CALDAS BRANDÃO,44
CAMALAÚ,1
CAMPINA GRANDE,5557
CAPIM,90
CARAÚBAS,5
CARRAPATEIRA,1
CASSERENGUE,87
CATINGUEIRA,10
CATOLÉ DO ROCHA,106
CATURITÉ,40
CONCEIÇÃO,6
CONDADO,57
CONDE,261
CONGO,18
COREMAS,25
COXIXOLA,8
CRUZ DO ESPÍRITO SANTO,166
CUBATI,32
CUITEGI,85
CUITÉ DE MAMANGUAPE,31
CUITÉ,59
CURRAL VELHO,1
CURRAL DE CIMA,15
DAMIÃO,2
DESTERRO,25
DIAMANTE,2
DONA INÊS,6
DUAS ESTRADAS,38
EMAS,2
ESPERANÇA,195
FAGUNDES,29
FREI MARTINHO,1
GADO BRAVO,52
GUARABIRA,1663
GURINHÉM,111
GURJÃO,18
IBIARA,5
IGARACY,2
IMACULADA,11
INGÁ,234
ITABAIANA,466
ITAPORANGA,18
ITAPOROROCA,118
ITATUBA,105
JACARAÚ,79
JERICÓ,3
JOCA CLAUDINO,1
JOÃO PESSOA,10466
JUAREZ TÁVORA,85
JUAZEIRINHO,87
JUNCO DO SERIDÓ,16
JURIPIRANGA,249
JURU,9
LAGOA SECA,310
LAGOA DE DENTRO,24
LAGOA,3
LASTRO,11
LIVRAMENTO,10
LOGRADOURO,23
LUCENA,142
MALTA,19
MAMANGUAPE,878
MANAÍRA,6
MARCAÇÃO,14
MARI,263
MARIZÓPOLIS,5
MASSARANDUBA,107
MATARACA,73
MATINHAS,31
MATO GROSSO,6
MATURÉIA,18
MOGEIRO,51
MONTADAS,28
MONTEIRO,58
MULUNGU,103
MÃE D'ÁGUA,9
NATUBA,29
NAZAREZINHO,4
NOVA FLORESTA,9
NOVA OLINDA,5
NOVA PALMEIRA,19
OLHO D'ÁGUA,25
OLIVEDOS,21
OURO VELHO,0
PARARI,4
PASSAGEM,20
PATOS,1046
PAULISTA,54
PEDRA LAVRADA,17
PEDRAS DE FOGO,760
PEDRO RÉGIS,9
PIANCÓ,35
PICUÍ,60
PILAR,99
PILÕES,31
PILÕEZINHOS,111
PIRPIRITUBA,54
PITIMBU,385
POCINHOS,35
POMBAL,108
PRATA,0
PRINCESA ISABEL,33
PUXINANÃ,128
QUEIMADAS,347
QUIXABA,23
REMÍGIO,128
RIACHO DE SANTO ANTÔNIO,7
RIACHO DOS CAVALOS,3
RIACHÃO DO BACAMARTE,158
RIACHÃO DO POÇO,20
RIACHÃO,13
RIO TINTO,286
SALGADINHO,9
SALGADO DE SÃO FÉLIX,75
SANTA CECÍLIA,13
SANTA CRUZ,6
SANTA HELENA,8
SANTA INÊS,5
SANTA LUZIA,145
SANTA RITA,1104
SANTA TERESINHA,25
SANTANA DE MANGUEIRA,1
SANTANA DOS GARROTES,2
SANTO ANDRÉ,1
SAPÉ,422
SERRA BRANCA,20
SERRA GRANDE,3
SERRA REDONDA,101
SERRA DA RAIZ,12
SERRARIA,21
SERTÃOZINHO,29
SOBRADO,60
SOLEDADE,68
SOLÂNEA,131
SOSSÊGO,4
SOUSA,421
SUMÉ,30
SÃO BENTINHO,16
SÃO BENTO,476
SÃO DOMINGOS DO CARIRI,2
SÃO FRANCISCO,8
SÃO JOSÉ DA LAGOA TAPADA,17
SÃO JOSÉ DE CAIANA,22
SÃO JOSÉ DE ESPINHARAS,5
SÃO JOSÉ DE PIRANHAS,23
SÃO JOSÉ DE PRINCESA,0
SÃO JOSÉ DO BONFIM,44
SÃO JOSÉ DO BREJO DO CRUZ,2
SÃO JOSÉ DO SABUGI,131
SÃO JOSÉ DOS CORDEIROS,3
SÃO JOSÉ DOS RAMOS,58
SÃO JOÃO DO CARIRI,21
SÃO JOÃO DO RIO DO PEIXE,30
SÃO JOÃO DO TIGRE,3
SÃO MAMEDE,24
SÃO MIGUEL DE TAIPU,66
SÃO SEBASTIÃO DE LAGOA DE ROÇA,86
SÃO SEBASTIÃO DO UMBUZEIRO,4
SÃO VICENTE DO SERIDÓ,18
TACIMA,42
TAPEROÁ,40
TAVARES,25
TEIXEIRA,47
TENÓRIO,11
TRIUNFO,1
UIRAÚNA,16
UMBUZEIRO,26
VIEIRÓPOLIS,4
VISTA SERRANA,3
VÁRZEA,6
ZABELÊ,1
ÁGUA BRANCA,17
