city,Ncasos,Ncasos/1000H
AGUIAR,24,4.26
ALAGOA GRANDE,851,29.87
ALAGOA NOVA,264,12.67
ALAGOINHA,844,58.26
ALCANTIL,55,10.2
ALGODÃO DE JANDAÍRA,6,2.34
ALHANDRA,596,30.43
AMPARO,17,7.6
APARECIDA,69,8.27
ARARA,191,14.18
ARARUNA,224,11.3
ARAÇAGI,479,28.2
AREIA DE BARAÚNAS,10,4.7
AREIA,366,16.4
AREIAL,45,6.43
AROEIRAS,198,10.34
ASSUNÇÃO,44,11.3
BANANEIRAS,187,8.78
BARAÚNA,130,26.58
BARRA DE SANTA ROSA,63,4.1
BARRA DE SANTANA,90,10.77
BARRA DE SÃO MIGUEL,46,7.62
BAYEUX,1621,16.74
BAÍA DA TRAIÇÃO,529,58.83
BELÉM DO BREJO DO CRUZ,30,4.9
BELÉM,926,52.39
BERNARDINO BATISTA,7,1.1
BOA VENTURA,4,0.75
BOA VISTA,80,11.35
BOM JESUS,8,3.13
BOM SUCESSO,18,3.62
BONITO DE SANTA FÉ,22,1.85
BOQUEIRÃO,332,18.65
BORBOREMA,31,5.89
BREJO DO CRUZ,337,23.87
BREJO DOS SANTOS,25,3.88
CAAPORÃ,914,41.88
CABACEIRAS,60,10.7
CABEDELO,2553,37.69
CACHOEIRA DOS ÍNDIOS,95,9.28
CACIMBA DE AREIA,8,2.18
CACIMBA DE DENTRO,243,14.14
CACIMBAS,46,6.42
CAIÇARA,405,56.25
CAJAZEIRAS,1402,22.62
CAJAZEIRINHAS,23,7.21
CALDAS BRANDÃO,220,36.59
CAMALAÚ,2,0.34
CAMPINA GRANDE,11379,27.78
CAPIM,149,22.85
CARAÚBAS,37,8.89
CARRAPATEIRA,46,17.3
CASSERENGUE,268,35.89
CATINGUEIRA,17,3.45
CATOLÉ DO ROCHA,305,9.99
CATURITÉ,97,19.1
CONCEIÇÃO,508,26.77
CONDADO,114,17.14
CONDE,700,28.38
CONGO,70,14.63
COREMAS,129,8.36
COXIXOLA,33,17.18
CRUZ DO ESPÍRITO SANTO,284,16.4
CUBATI,74,9.49
CUITEGI,381,56.1
CUITÉ DE MAMANGUAPE,106,16.69
CUITÉ,163,8.2
CURRAL VELHO,2,0.8
CURRAL DE CIMA,25,4.79
DAMIÃO,27,5.7
DESTERRO,54,6.51
DIAMANTE,148,22.59
DONA INÊS,88,8.42
DUAS ESTRADAS,78,21.69
EMAS,50,14.2
ESPERANÇA,432,13.9
FAGUNDES,96,8.54
FREI MARTINHO,7,2.35
GADO BRAVO,92,11.7
GUARABIRA,3657,62.16
GURINHÉM,417,29.52
GURJÃO,23,6.71
IBIARA,56,9.45
IGARACY,10,1.64
IMACULADA,45,3.81
INGÁ,1090,60.22
ITABAIANA,1039,42.45
ITAPORANGA,228,9.24
ITAPOROROCA,723,38.74
ITATUBA,313,28.56
JACARAÚ,292,20.24
JERICÓ,16,2.7
JOCA CLAUDINO,11,4.18
JOÃO PESSOA,23298,28.8
JUAREZ TÁVORA,285,35.92
JUAZEIRINHO,169,9.3
JUNCO DO SERIDÓ,47,6.58
JURIPIRANGA,455,42.31
JURU,106,10.75
LAGOA SECA,636,23.13
LAGOA DE DENTRO,117,15.16
LAGOA,6,1.29
LASTRO,18,6.58
LIVRAMENTO,87,11.99
LOGRADOURO,127,29.32
LUCENA,361,27.6
MALTA,94,16.33
MAMANGUAPE,2156,48.4
MANAÍRA,11,1.1
MARCAÇÃO,300,35.6
MARI,1076,49.28
MARIZÓPOLIS,26,3.93
MASSARANDUBA,317,22.78
MATARACA,165,19.57
MATINHAS,71,15.78
MATO GROSSO,16,5.51
MATURÉIA,36,5.48
MOGEIRO,154,11.6
MONTADAS,41,7.24
MONTE HOREBE,15,3.12
MONTEIRO,343,10.33
MULUNGU,319,32.22
MÃE D'ÁGUA,18,4.49
NATUBA,59,5.65
NAZAREZINHO,36,4.93
NOVA FLORESTA,61,5.74
NOVA OLINDA,15,2.53
NOVA PALMEIRA,60,12.23
OLHO D'ÁGUA,40,6.13
OLIVEDOS,79,20.1
OURO VELHO,0,0.0
PARARI,5,2.83
PASSAGEM,30,12.41
PATOS,3120,28.1
PAULISTA,180,14.58
PEDRA BRANCA,1,0.27
PEDRA LAVRADA,34,4.34
PEDRAS DE FOGO,1258,44.21
PEDRO RÉGIS,45,7.39
PIANCÓ,152,9.46
PICUÍ,192,10.27
PILAR,298,25.1
PILÕES,106,15.98
PILÕEZINHOS,239,48.3
PIRPIRITUBA,291,27.51
PITIMBU,589,30.9
POCINHOS,139,7.49
POMBAL,455,13.88
POÇO DANTAS,8,2.6
POÇO DE JOSÉ DE MOURA,26,6.4
PRATA,5,1.19
PRINCESA ISABEL,79,3.39
PUXINANÃ,257,18.79
QUEIMADAS,1027,23.36
QUIXABA,27,13.81
REMÍGIO,229,11.68
RIACHO DE SANTO ANTÔNIO,29,14.89
RIACHO DOS CAVALOS,13,1.53
RIACHÃO DO BACAMARTE,223,49.33
RIACHÃO DO POÇO,90,19.96
RIACHÃO,71,19.79
RIO TINTO,1002,41.45
SALGADINHO,27,6.95
SALGADO DE SÃO FÉLIX,233,19.2
SANTA CECÍLIA,66,10.7
SANTA CRUZ,53,8.6
SANTA HELENA,19,3.23
SANTA INÊS,58,16.14
SANTA LUZIA,225,14.63
SANTA RITA,2653,19.43
SANTA TERESINHA,54,11.81
SANTANA DE MANGUEIRA,6,1.17
SANTANA DOS GARROTES,18,2.56
SANTO ANDRÉ,15,5.95
SAPÉ,969,18.42
SERRA BRANCA,148,10.81
SERRA GRANDE,9,3.1
SERRA REDONDA,242,34.37
SERRA DA RAIZ,21,6.67
SERRARIA,157,25.75
SERTÃOZINHO,182,36.23
SOBRADO,175,22.49
SOLEDADE,142,9.48
SOLÂNEA,449,17.1
SOSSÊGO,11,3.1
SOUSA,1439,20.73
SUMÉ,224,13.21
SÃO BENTINHO,43,9.5
SÃO BENTO,1569,46.11
SÃO DOMINGOS DO CARIRI,47,17.98
SÃO DOMINGOS,1,0.33
SÃO FRANCISCO,33,9.73
SÃO JOSÉ DA LAGOA TAPADA,53,6.95
SÃO JOSÉ DE CAIANA,47,7.4
SÃO JOSÉ DE ESPINHARAS,38,8.12
SÃO JOSÉ DE PIRANHAS,164,8.1
SÃO JOSÉ DE PRINCESA,1,0.25
